District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
California 14th,CA-14,Democratic,Jackie,Speier,(JACK-ee SPEAR),/'dʒæ.ki spɪəɹ/,2008 Special,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,80.9,19.1,76.7,23.3,78.9,21.1,76.9,18.2,74.2,23.6,75.0,25.0,39.3,3.4,22.0,32.4,0.2,2.7,47.5 ,32 ,56.9 ,32 ,"$103,850",10,,,,35,"297,743","229,008","54,229","269,882","200,343","63,589","266,330","199,653","66,677","286,447","231,630","54,817",0,"149,146","114,389","34,757",0,"203,828","54,455",,,,,"702,860","259,361","22,764","171,572","221,935","1,118","26,110","553,566","217,820","19,000","121,763","179,300",930,"14,753"
California 15th,CA-15,Democratic,Eric,Swalwell,(AIR-ick SWAWL-well),/'ɛ.ɹɪk 'swɔl.wɛl/,2012,1980,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,73.8,26.2,69.8,30.2,100,0,69.9,24.2,68.0,29.8,69.0,31.0,41.0,6.5,21.0,28.1,0.3,3.2,45.0 ,43 ,47.1 ,79 ,"$106,291",8,,,,36,"284,536","198,964","68,808","260,611","177,243","77,748","264,100","182,142","81,958","269,197","198,578","70,619",0,"142,904","99,756","43,148",0,"231,034",0,,,,,"703,021","264,503","45,726","164,646","196,110","1,912","30,124","525,308","215,417","33,904","110,392","147,403","1,477","16,715"
California 16th,CA-16,Democratic,Jim,Costa,(JIM KAH-stuh),/dʒɪm 'kɑ.stə/,2004,1952,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,58.0,42.0,50.7,49.3,57.4,42.6,58.0,36.4,58.6,39.4,59.4,40.6,30.2,6.1,52.9,8.5,0.7,1.7,12.2 ,431 ,21.3 ,405 ,"$40,207",417,,,,37,"169,964","98,504","61,813","151,953","88,973","59,808","148,138","88,039","60,099","167,956","97,473","70,483",0,"91,220","46,277","44,943",0,"84,649","62,801",,,,,"703,467","176,602","40,783","408,115","60,491","4,226","13,250","478,738","144,747","28,987","253,034","40,776","3,203","7,991"
California 17th,CA-17,Democratic,Ro,Khanna,(ROH KAHN-uh),/ɹoʊ 'kɑ.nə/,2016,1976,Man,Asian - Indian,Hindu,No,Defeated,100,0,100,0,73.5,26.5,73.9,20.5,71.9,25.5,71.2,28.8,30.0,2.4,15.6,49.3,0.2,2.5,57.0 ,11 ,54.4 ,41 ,"$121,150",2,,,,38,"248,695","183,801","50,926","227,806","163,862","58,193","233,223","166,096","67,127","233,192","233,192",0,0,"134,408","134,408",0,0,"159,392","57,336",,,,,"705,190","188,718","16,705","122,990","350,699","1,365","24,713","539,199","161,494","12,808","84,268","265,956",944,"13,729"
California 18th,CA-18,Democratic,Anna,Eshoo,(ANN-uh EH-shoo),/'æ.nə 'ɛ.ʃu/,1992,1942,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,71.1,28.9,67.8,32.2,70.5,29.5,73.4,20.2,68.2,28.9,71.8,28.2,61.1,2.0,15.0,19.2,0.2,2.5,61.5 ,4 ,65.1 ,14 ,"$125,790",1,,,,39,"335,138","246,015","67,808","319,615","218,082","92,457","322,807","231,779","91,028","323,930","230,460","93,470",0,"196,386","133,060","63,326",0,"212,831","89,103",,,,,"701,054","406,641","13,065","119,163","134,007","1,444","26,734","541,587","331,125","10,594","81,120","104,146","1,195","13,407"
California 19th,CA-19,Democratic,Zoe,Lofgren,(ZOH LAWF-gren),/zoʊ 'lɔf.gɹɛn/,1994,1947,Woman,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,73.9,26.1,100,0,73.2,26.8,72.9,21.5,71.2,26.5,69.9,30.1,30.4,3.0,37.2,27.0,0.3,2.1,35.5 ,126 ,48.8 ,71 ,"$93,139",24,,,,40,"257,624","187,828","55,371","232,442","165,530","61,643","227,548","159,069","68,479","245,863","181,802","64,061",0,"127,788","127,788",0,0,"162,300","59,313",,,,,"700,886","189,148","19,865","290,200","181,245","1,917","18,511","521,393","158,639","15,729","193,759","140,784","1,517","10,965"
California 20th,CA-20,Democratic,Jimmy,Panetta,(JIM-ee puh-NET-uh),/'dʒɪ.mi pə.'nɛ.ɾə,2016,1969,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,70.8,29.2,75.2,0,74.1,25.9,70.4,23.2,70.9,26.2,73.4,26.6,44.9,2.2,44.4,6.0,0.4,2.1,27.9 ,237 ,43.5 ,103 ,"$67,419",118,,,,41,"256,538","180,486","59,573","238,341","168,956","62,427","238,438","175,070","63,368","255,791","180,980","74,811",0,"141,044","106,034",0,"35,010","172,996","60,566",,,,,"704,856","276,231","13,944","356,892","37,633","2,460","17,696","525,025","235,633","11,761","233,001","31,566","2,005","11,059"
California 21st,CA-21,Republican,David,Valadao,(DAY-vid val-uh-DAY-oh),/'deɪ.vɪd ˌvæ.lə.'deɪ.oʊ/,2012,1977,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,43.3,56.7,42.2,57.8,42.2,57.8,55.2,39.7,54.6,43.5,53.6,46.4,23.2,5.3,65.9,3.8,0.6,1.2,7.9 ,435 ,19.5 ,422 ,"$41,174",405,,,,42,"133,544","73,773","52,972","119,232","65,146","51,917","123,759","66,369","57,390","132,408","57,282","75,126",0,"79,377","33,470","45,907",0,"49,119","67,164",,,,,"700,644","134,972","31,296","497,434","23,677","3,702","9,563","473,659","110,029","24,960","312,130","18,103","2,713","5,724"
California 22nd,CA-22,Republican,Devin,Nunes,(DEH-vin NOO-niss),/'dɛ.vɪn 'nu.nɪs/,2002,1973,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,32.4,67.6,28.0,72.0,38.1,61.9,42.6,52.1,41.6,56.6,43.8,56.2,48.0,2.8,39.4,7.4,0.6,1.8,24.1 ,306 ,31.6 ,239 ,"$56,524",213,,,,43,"240,137","102,292","125,089","221,278","92,005","125,213","218,875","95,918","122,957","234,966","76,211","158,755",0,"133,342","37,289","96,053",0,"81,555","132,386",,,,,"704,840","298,022","19,708","316,151","51,311","4,125","15,523","499,241","239,522","13,868","196,766","37,184","3,102","8,799"
California 23rd,CA-23,Republican,Kevin,McCarthy,(KEH-vin muh-CAR-thee),/'kɛ.vɪn mə.'kɑɹ.θi/,2006,1965,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,30.8,69.2,25.2,74.8,0,100,36.1,58.1,36.1,61.5,37.5,62.5,55.7,5.7,30.8,4.8,0.9,2.1,20.8 ,373 ,24.6 ,362 ,"$54,437",239,,,,44,"244,864","88,314","142,351","227,297","82,119","139,816","229,314","85,903","143,411","241,584","74,468","167,116",0,"134,043","33,726","100,317",0,0,"158,161",,,,,"701,673","355,329","41,191","248,938","31,516","6,304","18,395","503,535","280,367","28,523","155,326","23,953","4,696","10,670"
California 24th,CA-24,Democratic,Salud,Carbajal,(sah-LOOD KAR-buh-hahl),/sɑ.'lud 'kɑɹ.bə.hɑl/,2016,1964,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Retired,53.4,46.6,51.9,48.1,55.1,44.9,56.7,36.5,54.1,43.1,57.8,42.2,62.0,2.0,29.0,4.5,0.5,2.1,34.0 ,141 ,44.8 ,93 ,"$68,929",104,,,,45,"312,160","176,979","113,887","292,406","158,119","126,049","303,345","175,426","127,919","310,814","166,034","144,780",0,"198,794","103,228","95,566",0,"156,749","127,746",,,,,"703,683","402,081","12,497","239,822","28,931","3,282","17,070","553,080","343,003","10,813","160,320","24,762","2,712","11,470"
California 25th,CA-25,Republican,Steve,Knight,(STEVE NITE),/stiv naɪt/,2014,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,46.9,53.1,0,100.0,45.2,54.8,50.3,43.6,47.8,49.7,50.7,49.3,50.3,7.6,31.5,8.1,0.3,2.2,27.8 ,242 ,33.3 ,219 ,"$75,367",69,,,,46,"273,218","137,491","119,249","252,249","120,701","125,258","242,411","122,998","119,413","261,161","122,406","138,755",0,"114,072",0,"114,072",0,"106,982","129,593",,,,,"701,281","321,359","56,375","247,883","53,335","2,151","20,178","501,767","252,616","38,092","158,077","40,478","1,691","10,813"
California 26th,CA-26,Democratic,Julia,Brownley,(JOO-lee-uh BROWN-lee),/'dʒu.li.ə 'bɹaʊn.li/,2012,1952,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,60.4,39.6,51.3,48.7,52.7,47.3,57.9,36.0,54.0,43.7,57.8,42.2,50.9,1.8,38.4,6.9,0.3,1.7,34.1 ,138 ,46.3 ,84 ,"$76,914",61,,,,47,"292,232","169,083","105,259","273,647","147,753","119,677","278,538","160,865","117,673","280,307","169,248","111,059",0,"169,829","87,176","82,653",0,"139,072","124,863",,,,,"707,145","326,988","11,594","304,625","45,590","2,001","16,347","523,593","266,606","9,206","200,923","36,133","1,613","9,112"
California 27th,CA-27,Democratic,Judy,Chu,(JOO-dee CHOO),/'dʒu.ɾi tʃu/,2009 Special,1953,Woman,Asian - Chinese,Unknown,No,Re-elected,67.4,32.6,59.4,40.6,64.0,36.0,66.0,28.4,62.6,35.0,63.1,36.9,31.3,4.5,24.4,38.0,0.2,1.7,40.5 ,79 ,53.1 ,44 ,"$71,223",86,,,,48,"264,466","174,544","74,984","257,970","161,528","90,278","262,353","165,471","96,882","250,632","168,977","81,655",0,"127,580","75,728","51,852",0,"154,191","86,817",,,,,"704,160","205,453","31,301","190,005","259,948","1,052","16,401","558,942","174,820","25,275","136,134","212,299",845,"9,569"
California 28th,CA-28,Democratic,Adam,Schiff,(ADD-uhm SHIFF),/'æ.ɾəm ʃɪf/,2000,1960,Man,White - Non-Hispanic,Jewish,No,Re-elected,78.0,22.0,76.5,0,76.5,23.5,72.1,22.3,70.3,26.5,72.1,27.9,58.1,2.5,23.0,13.6,0.2,2.7,46.2 ,38 ,51.6 ,54 ,"$63,940",143,,,,49,"289,254","208,645","64,607","266,628","187,441","70,757","266,374","192,035","74,339","270,409","210,883","59,526",0,"120,264","91,996",0,"28,268","188,703","58,008",,,,,"700,877","389,271","16,269","178,368","94,498","1,080","21,391","582,270","338,469","14,400","133,994","78,940",975,"15,492"
California 29th,CA-29,Democratic,Tony,Cardenas,(TOH-nee CAR-deh-nahs) [R is trilled],/'to.ni 'kɑr.dɛ.nas/,2012,1963,Man,Hispanic - Mexican,Christian - Protestant,No,Re-elected,100,0,74.6,25.4,100,0,77.7,16.8,77.0,20.5,76.0,24.0,21.7,4.0,64.1,8.5,0.2,1.4,19.2 ,398 ,34.5 ,194 ,"$50,655",298,,,,50,"196,196","152,517","32,963","167,889","129,323","34,454","144,433","109,792","34,641","171,824","171,824",0,0,"67,141","50,096","17,045",0,"111,287",0,,,,,"701,446","128,951","25,537","482,104","52,695","1,330","10,829","512,286","111,330","20,288","328,545","43,662","1,078","7,383"
California 30th,CA-30,Democratic,Brad,Sherman,(BRADD SHUR-muhn),/bɹæd 'ʃɜɹ.mən/,1996,1954,Man,White - Non-Hispanic,Jewish,No,Re-elected,72.6,27.4,65.6,34.4,100,0,69.1,25.7,65.3,32.1,67.3,32.7,56.6,4.2,24.0,12.3,0.2,2.7,42.4 ,61 ,49.3 ,66 ,"$76,778",62,,,,51,"302,805","209,149","77,701","285,226","186,301","91,680","269,653","181,568","88,085","282,604","205,279","77,325",0,"131,883","86,568","45,315",0,"247,851",0,,,,,"705,295","376,090","29,570","190,750","84,259","1,214","23,412","559,607","316,869","23,509","134,303","68,605","1,018","15,303"
California 31st,CA-31,Democratic,Pete,Aguilar,(PETE AGG-yuh-lar),/pit 'æ.gjə.lɑɹ/,2014,1979,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,56.1,43.9,51.7,48.3,0,100,57.7,36.6,57.2,40.6,58.0,42.0,34.4,11.0,44.3,8.0,0.3,2.0,22.7 ,338 ,33.7 ,210 ,"$58,668",191,,,,52,"228,825","131,960","83,701","206,242","118,043","83,822","208,418","120,873","87,545","215,936","121,070","94,866",0,"99,784","51,622","48,162",0,0,"161,219",,,,,"704,230","209,488","76,800","347,395","51,105","2,154","17,288","501,208","172,656","55,105","221,916","39,859","1,738","9,934"
California 32nd,CA-32,Democratic,Grace,Napolitano,(GRACE nuh-pol-ee-TAN-oh) [O is unrounded],/gɹeɪs nə.ˌpo.li.'tæ.no/,1998,1936,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,100,0,59.7,40.3,65.7,34.3,66.6,27.7,65.2,32.5,64.3,35.7,21.2,2.7,57.8,16.9,0.2,1.2,21.4 ,361 ,30.6 ,262 ,"$67,101",120,,,,53,"220,046","146,459","60,921","204,169","133,061","66,269","207,398","133,459","73,939","186,646","186,646",0,0,"84,406","50,353","34,053",0,"124,903","65,208",,,,,"709,057","128,699","17,992","443,630","107,252","1,396","10,088","521,893","110,400","14,295","301,571","88,219","1,134","6,274"
California 33rd,CA-33,Democratic,Ted,Lieu,(TEDD LOO),/tɛd lu/,2014,1969,Man,Asian - Chinese,Christian - Roman Catholic,No,Re-elected,66.4,33.6,59.2,40.8,54.0,46.0,67.8,26.5,60.6,36.8,65.5,34.5,70.1,2.8,10.3,13.7,0.2,2.9,65.4 ,2 ,68.1 ,10 ,"$101,956",11,,,,54,"353,897","239,982","93,706","346,504","210,010","127,421","350,465","229,683","120,782","330,219","219,397","110,822",0,"183,031","108,331","74,700",0,"171,860","146,660",,,,,"697,199","476,364","19,387","78,838","94,476","1,101","27,033","568,279","398,285","15,806","58,795","78,114",925,"16,354"
California 34th,CA-34,Democratic,Jimmy,Gomez,(JIM-ee GOH-mehz),/'dʒɪ.mi 'goʊ.mɛz/,2017 special,1974,Man,Hispanic - Mexican,Christian - No Data,No,Re-elected,100,0,100,0,85.6,14.4,83.6,10.7,83.0,14.1,79.6,20.4,10.9,5.1,60.5,22.1,0.2,1.2,25.4 ,285 ,59.4 ,28 ,"$40,847",412,6-Jun-17,100,0,55,"184,601","154,259","19,784","153,699","127,510","21,739","135,799","108,129","27,670","159,156","159,156",0,0,"61,607","61,607",0,0,"120,367","20,223","43,179","43,179",0,0,"705,324","64,935","31,020","461,664","137,158","1,362","9,185","539,883","58,861","27,285","326,761","119,107","1,121","6,748"
California 35th,CA-35,Democratic,Norma,Torres,(NOR-muh TOR-ez),/'nɔɹ.mə 'tɔ.ɹɛz/,2014,1965,Woman,Hispanic - Guatemalan,Christian - Roman Catholic,No,Re-elected,72.4,27.6,100,0,100,0,67.7,26.9,67.4,30.6,66.4,33.6,19.1,7.2,65.0,7.2,0.3,1.3,16.1 ,418 ,23.8 ,376 ,"$57,159",206,,,,56,"188,611","127,757","50,822","161,732","108,983","49,433","160,361","106,523","53,838","171,353","124,044","47,309",0,"62,255","62,255",0,0,"142,680",0,,,,,"699,719","110,455","46,303","487,449","43,584","1,692","10,236","484,975","92,609","34,824","315,064","34,918","1,326","6,234"
California 36th,CA-36,Democratic,Raul,Ruiz,(ra-OOL roo-EEZ),/ɹæ.'ul ɹu.'iz/,2012,1972,Man,Hispanic - Mexican,Christian - Seventh-Day Adventist,No,Re-elected,62.1,37.9,54.2,45.8,52.9,47.1,52.2,43.4,50.7,47.5,51.8,48.2,51.9,3.5,39.5,3.1,0.7,1.3,20.6 ,377 ,29.8 ,272 ,"$44,567",379,,,,57,"237,370","123,795","103,051","212,939","107,914","101,156","205,988","106,785","99,203","232,617","144,348","88,269",0,"134,139","72,682","61,457",0,"110,189","97,953",,,,,"700,371","310,748","25,061","326,871","20,622","5,052","12,017","521,859","270,869","18,295","205,919","16,231","3,641","6,904"
California 37th,CA-37,Democratic,Karen,Bass,(KAIR-in BASS),/'kɛ.ɹɪn bæs/,2010,1953,Woman,Black - African-American,Christian - Baptist,No,Re-elected,100,0,84.3,15.7,86.4,13.6,85.7,9.6,84.9,12.7,86.4,13.6,27.2,24.8,34.3,10.6,0.2,2.8,36.9 ,108 ,66.6 ,12 ,"$55,190",228,,,,58,"276,134","236,621","26,608","261,858","222,329","33,307","255,824","220,967","34,857","237,272","237,272",0,0,"114,838","96,787","18,051",0,"207,039","32,541",,,,,"705,221","172,925","172,513","271,274","65,280","1,174","22,055","553,286","150,708","137,337","189,967","58,812",952,"15,510"
California 38th,CA-38,Democratic,Linda,Sánchez,(LIN-duh SAN-chez),/'lɪn.də 'sæn.tʃɛz/,2002,1969,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,70.5,29.5,59.1,40.9,67.5,32.5,67.0,27.4,64.9,33.0,63.8,36.2,21.9,3.5,57.2,15.7,0.3,1.3,23.5 ,321 ,25.6 ,345 ,"$66,421",126,,,,59,"248,224","166,224","68,033","229,875","149,141","75,780","234,510","149,600","84,910","232,114","163,590","68,524",0,"98,480","58,192","40,288",0,"145,280","69,807",,,,,"695,463","131,697","24,637","427,083","99,713","1,649","10,684","516,385","113,339","18,216","295,564","81,317","1,369","6,580"
California 39th,CA-39,Republican,Ed,Royce,(ED ROYS),/ɛd ɹɔɪs/,1992,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.8,57.2,31.5,68.5,42.2,57.8,51.5,42.9,47.1,50.8,48.8,51.2,37.4,2.4,28.5,29.8,0.2,1.8,41.6 ,67 ,43.7 ,100 ,"$85,188",39,,,,60,"272,471","140,230","116,782","263,530","124,108","133,742","266,301","129,989","136,312","263,456","112,679","150,777",0,"133,225","41,906","91,319",0,"106,360","145,607",,,,,"696,460","239,399","15,997","224,194","199,446","1,257","16,167","530,634","198,202","12,519","151,476","158,032","1,019","9,386"
California 40th,CA-40,Democratic,Lucille,Roybal-Allard,(loo-SEEL ROY-bawl AL-lurd),/lu.'sil 'ɹɔɪ.bɔl 'æ.ləɹd/,1992,1941,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,71.4,0,100,0,100,0,82.2,12.8,81.5,16.5,79.5,20.5,6.7,5.5,84.2,2.8,0.2,0.6,9.8 ,433 ,24.6 ,362 ,"$42,902",391,,,,61,"164,714","135,472","21,077","141,918","115,637","23,446","131,325","104,433","26,892","149,297","106,554",0,"42,743","49,379","49,379",0,0,"125,553",0,,,,,"703,827","38,003","35,859","608,058","16,299",997,"4,611","478,423","31,970","26,289","402,942","13,599",779,"2,844"
California 41st,CA-41,Democratic,Mark,Takano,(MARK tuh-KAHN-noh),/mɑɹk tə.'kɑ.noʊ/,2012,1960,Man,Asian - Japanese,Christian - Methodist,Gay,Re-elected,65.0,35.0,56.6,43.4,59.0,41.0,61.0,33.1,61.5,36.3,60.7,39.3,30.9,9.6,50.3,6.9,0.4,1.9,18.3 ,405 ,28.2 ,301 ,"$62,069",155,,,,62,"206,961","126,197","68,526","185,429","114,040","67,314","174,916","106,235","68,681","197,323","128,164","69,159",0,"82,884","46,948","35,936",0,"103,578","72,074",,,,,"701,109","182,700","66,182","392,728","41,005","2,459","16,035","490,407","151,364","47,309","246,668","33,867","1,899","9,300"
California 42nd,CA-42,Republican,Ken,Calvert,(KEN KAL-vert),/kɛn 'kæl.vəɹt/,1992,1953,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,41.2,58.8,34.3,65.7,39.4,60.6,41.4,53.4,41.4,56.5,45.0,55.0,50.8,5.3,32.1,9.3,0.4,2.1,25.0 ,294 ,27.4 ,307 ,"$76,504",63,,,,63,"268,305","111,103","143,175","232,520","96,212","131,438","212,612","95,675","116,937","254,236","104,689","149,547",0,"113,390","38,850","74,540",0,"84,702","130,245",,,,,"709,841","330,416","36,689","256,739","62,490","2,857","20,650","502,971","255,312","26,836","161,500","46,843","2,167","10,313"
California 43rd,CA-43,Democratic,Maxine,Waters,(MACK-seen WAH-terz),/'mæk.sin 'wɑ.ɾəɹz/,1990,1938,Woman,Black - African-American,Christian - Protestant,No,Re-elected,76.1,23.9,71.0,29.0,100,0,78.4,16.7,78.0,20.0,77.1,22.9,17.7,24.2,41.7,14.1,0.2,2.1,26.5 ,264 ,46.2 ,85 ,"$54,614",234,,,,64,"234,060","183,434","39,039","222,219","173,342","44,485","217,683","167,844","49,839","219,516","167,017","52,499",0,"98,202","69,681","28,521",0,"200,894",0,,,,,"703,742","105,987","165,892","324,296","88,512","1,349","17,706","520,049","91,816","125,866","216,776","73,466","1,096","11,029"
California 44th,CA-44,Democratic,Nanette,Barragan,(nuh-NET BAIR-uh-gen),/nə.'nɛt 'bɛ.ɹə.gɛn/,2016,1976,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Ran for LA County Supervisor and won,100,0,86.7,0,100,0,83.0,12.3,84.7,13.6,83.4,16.6,9.0,18.0,64.5,7.1,0.2,1.2,12.3 ,430 ,26.5 ,322 ,"$50,890",291,,,,65,"197,802","164,251","24,261","183,586","155,459","24,995","167,638","139,728","27,910","178,413","178,413",0,0,"68,862","59,670",0,"9,192","165,898",0,,,,,"702,899","50,147","117,907","480,731","43,546","1,254","9,314","487,334","43,768","87,781","314,209","34,779","1,013","5,784"
California 45th,CA-45,Republican,Mimi,Walters,(MEE-mee WAWL-terz),/'mi.mi 'wɔl.təɹz/,2014,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.4,58.6,34.9,65.1,41.5,58.5,49.8,44.4,43.0,54.8,47.7,52.3,58.3,1.5,16.4,21.0,0.2,2.7,56.0 ,12 ,56.5 ,35 ,"$97,356",19,,,,66,"325,967","162,449","144,713","309,399","133,114","169,489","309,553","147,542","162,011","311,849","129,231","182,618",0,"162,902","56,819","106,083",0,"121,814","171,417",,,,,"692,013","384,853","10,010","128,724","142,173","1,217","25,036","531,667","310,132","7,937","86,929","111,541",974,"14,154"
California 46th,CA-46,Democratic,Lou,Correa,(LOO kor-AY-uh) [R is trilled in Spanish],/'lu 'kɔ.reɪ.ə/,2016,1958,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Ran for Senate and lost,100,0,59.7,40.3,63.9,36.1,66.3,27.9,61.4,36.2,60.1,39.9,22.5,1.9,60.8,13.3,0.2,1.2,18.7 ,402 ,31.0 ,250 ,"$61,304",168,,,,67,"180,750","119,762","50,403","155,493","95,479","56,252","152,425","91,557","60,868","164,593","164,593",0,0,"83,315","49,738","33,577",0,"95,694","54,121",,,,,"708,237","131,037","12,165","470,745","83,387","1,368","9,535","504,841","113,813","9,687","306,928","67,218","1,067","6,128"
California 47th,CA-47,Democratic,Alan,Lowenthal,(AL-en LOW-en-thawl),/'æ.lɛn 'loʊ.ɛn.θɔl/,2012,1941,Man,White - Non-Hispanic,Jewish,No,Re-elected,63.7,36.3,56.0,44.0,56.6,43.4,62.6,31.0,60.0,37.5,59.5,40.5,38.5,7.3,29.6,22.1,0.3,2.2,32.0 ,168 ,43.2 ,107 ,"$65,450",134,,,,68,"258,320","161,743","80,162","245,624","147,456","92,010","244,896","145,697","99,199","242,868","154,759","88,109",0,"123,400","69,091","54,309",0,"130,093","99,919",,,,,"701,770","239,094","51,309","239,436","149,779","1,928","20,224","533,085","205,319","38,828","157,822","117,608","1,602","11,906"
California 48th,CA-48,Republican,Dana,Rohrabacher,(DAY-nuh RUHR-uh-bah-ker),/deɪ.nə 'ɹʌ.ɹə.ˌbɑ.kəɹ/,1988,1947,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,41.7,58.3,35.9,64.1,39.0,61.0,47.9,46.2,43.0,54.7,47.5,52.5,61.5,1.0,17.0,18.1,0.2,2.1,44.6 ,46 ,52.2 ,50 ,"$88,903",30,,,,69,"317,328","152,035","146,595","309,496","133,103","169,249","311,625","148,080","163,545","306,416","127,715","178,701",0,"174,795","62,713","112,082",0,"113,358","177,144",,,,,"712,874","415,230","6,680","140,691","127,786","1,515","20,972","561,701","345,365","5,482","95,599","101,923","1,271","12,061"
California 49th,CA-49,Republican,Darrell,Issa,(DAIR-uhl ICE-uh),/'dɛ.ɹəl 'aɪ.sə/,2000,1953,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,49.7,50.3,39.8,60.2,41.8,58.2,50.7,43.2,45.7,52.2,50.7,49.3,65.4,2.4,22.1,7.6,0.4,2.2,44.0 ,51 ,52.0 ,52 ,"$80,877",47,,,,70,"314,011","159,081","135,576","294,468","134,447","153,856","289,032","146,459","142,573","310,155","154,267","155,888",0,"163,142","64,981","98,161",0,"114,893","159,725",,,,,"713,732","438,171","16,596","182,877","50,892","2,465","22,731","541,472","354,022","12,811","119,740","40,941","1,984","11,974"
California 50th,CA-50,Republican,Duncan,Hunter,(DUHN-kuhn HUHN-ner),/'dʌŋ.kən 'hʌ.nəɹ/,2008,1976,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,36.5,63.5,28.8,71.2,32.3,67.7,39.6,54.6,37.6,60.4,40.4,59.6,63.3,2.3,25.7,5.5,0.9,2.2,28.2 ,230 ,33.5 ,214 ,"$71,692",83,,,,71,"292,878","115,864","159,822","273,289","102,649","165,104","269,249","108,686","160,563","283,583","103,646","179,937",0,"157,299","45,302","111,997",0,"83,455","174,838",,,,,"700,614","410,047","16,301","210,423","36,142","6,908","20,793","520,756","329,692","12,043","134,076","28,646","4,941","11,358"
California 51st,CA-51,Democratic,Juan,Vargas,(WAHN VAR-gus),/wɑn 'vɑɹ.gəs/,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,72.8,27.2,68.8,31.2,71.5,28.5,71.8,22.8,69.4,28.9,67.2,32.8,17.6,7.4,63.9,9.1,0.5,1.5,14.1 ,426 ,26.6 ,320 ,"$46,639",355,,,,72,"205,437","147,603","46,825","166,684","115,610","48,108","164,492","110,561","53,931","199,524","145,162","54,362",0,"81,950","56,373","25,577",0,"113,934","45,464",,,,,"702,436","101,085","47,932","480,634","57,218","3,132","12,435","503,460","88,607","37,415","321,527","45,770","2,367","7,774"
California 52nd,CA-52,Democratic,Scott,Peters,(SKAHT PEE-terz),/skɑt 'pi.ɾəɹz/,2012,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,56.5,43.5,51.6,48.4,51.2,48.8,58.1,35.6,52.1,45.7,56.1,43.9,64.7,2.9,11.6,17.8,0.3,2.8,57.4 ,9 ,61.2 ,23 ,"$90,854",27,,,,73,"329,258","191,325","117,057","314,748","163,911","143,726","326,265","183,133","143,132","320,656","181,253","139,403",0,"191,572","98,826","92,746",0,"151,451","144,459",,,,,"697,659","433,164","20,283","90,611","124,125","1,958","27,518","560,637","362,782","16,208","64,846","99,553","1,592","15,656"
