chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
House,Ted S. Yoho,Yoho,R,FL-3,94.6,16,89.6,5.1
House,Michael C. Burgess,Burgess,R,TX-26,98.3,26.5,93.2,5.1
House,Frank D. Lucas,Lucas,R,OK-3,98.3,52.7,93.3,5
House,Kay Granger,Granger,R,TX-12,98.1,30.2,93.2,5
House,Gus M. Bilirakis,Bilirakis,R,FL-12,96.6,18.6,91.6,5
House,Chris Stewart,Stewart,R,UT-2,92.9,14,87.9,5
House,Kevin Brady,Brady,R,TX-8,98.3,48.8,93.5,4.9
House,Steve Scalise,Scalise,R,LA-1,100,42,95.2,4.8
House,John Shimkus,Shimkus,R,IL-15,98.3,46.2,93.6,4.8
House,Glenn Thompson,Thompson,R,PA-5,98.3,28.8,93.6,4.8
House,Mike Quigley,Quigley,D,IL-5,18.6,-46.6,13.9,4.7
House,Austin Scott,A. Scott,R,GA-8,98.3,28.9,93.6,4.7
House,Gregory W. Meeks,Meeks,D,NY-5,17.9,-73,13.1,4.7
House,Tom Cole,Cole,R,OK-4,98.2,37.4,93.6,4.7
House,Kevin Cramer,Cramer,R,ND-AL,98.2,35.7,93.6,4.6
House,Bill Johnson,Johnson,R,OH-6,98.3,42.6,93.7,4.6
House,Bill Shuster,Shuster,R,PA-9,98.3,42.5,93.7,4.6
House,David B. McKinley,McKinley,R,WV-1,98.3,41.6,93.7,4.6
House,Tim Murphy*,Murphy*,R,PA-18,97.9,19.6,93.3,4.6
House,Steve Womack,Womack,R,AR-3,98.3,31.4,93.7,4.6
House,Glenn Grothman,Grothman,R,WI-6,94.9,16.9,90.3,4.6
House,Rick Crawford,Crawford,R,AR-1,98.3,34.8,93.7,4.6
House,Clay Higgins,Higgins,R,LA-3,98.3,38.1,93.7,4.6
House,Brett Guthrie,Guthrie,R,KY-2,98.3,39.9,93.7,4.6
House,Larry Bucshon,Bucshon,R,IN-8,98.3,33.7,93.8,4.5
House,Chuck Fleischmann,Fleischmann,R,TN-3,98.3,35.2,93.8,4.5
House,John J. Faso,Faso,R,NY-19,84.7,7.3,80.3,4.5
House,Jeff Fortenberry,Fortenberry,R,NE-1,96.5,21.3,92,4.5
House,John H. Rutherford,Rutherford,R,FL-4,98.1,28,93.7,4.4
House,Jack Bergman,Bergman,R,MI-1,96.6,21.3,92.2,4.4
House,Don Young,Young,R,AK-AL,93.2,14.7,88.9,4.3
House,Mark Walker,Walker,R,NC-6,92.6,14.7,88.3,4.3
House,Jackie Speier,Speier,D,CA-14,17.2,-58.7,12.9,4.3
House,Sam Johnson,S. Johnson,R,TX-3,92.2,14.2,87.9,4.3
House,Duncan Hunter,Hunter,R,CA-50,93.2,15,89.1,4.1
House,Francis Rooney,F. Rooney,R,FL-19,96.4,22.1,92.3,4.1
House,Ron DeSantis,DeSantis,R,FL-6,94.8,17,90.7,4.1
House,Richard Hudson,Hudson,R,NC-8,92.5,15,88.5,4
House,Lynn Jenkins,Jenkins,R,KS-2,94.7,18.4,90.9,3.9
House,Blake Farenthold,Farenthold,R,TX-27,96.6,23.6,92.8,3.8
House,Tulsi Gabbard,Gabbard,D,HI-2,20.7,-31.8,16.9,3.7
House,Thomas A. Garrett Jr.,Garrett,R,VA-5,89.1,11.1,85.4,3.7
House,Mac Thornberry,Thornberry,R,TX-13,96.6,63,92.9,3.7
House,Neal P. Dunn,Dunn,R,FL-2,98.3,35.6,94.6,3.7
House,Anna G. Eshoo,Eshoo,D,CA-18,15.5,-53.2,11.9,3.6
House,Doug Collins,Collins,R,GA-9,96.6,58.5,93.1,3.5
House,Robert E. Latta,Latta,R,OH-5,96.6,25.1,93.1,3.5
House,C. A. Dutch Ruppersberger,Ruppersberger,D,MD-2,23.7,-24.6,20.2,3.5
House,David P. Roe,Roe,R,TN-1,96.6,57,93.1,3.5
House,Adrian Smith,Smith,R,NE-3,96.6,54.9,93.1,3.5
House,Ralph Norman,Norman,R,SC-5,88,18.5,84.6,3.4
House,Brad R. Wenstrup,Wenstrup,R,OH-2,93.2,16.1,89.8,3.4
House,Adam B. Schiff,Schiff,D,CA-28,16.9,-49.8,13.6,3.3
House,Thomas J. Rooney,T. Rooney,R,FL-17,96.4,27.2,93.2,3.3
House,Rob Bishop,Bishop,R,UT-1,96.5,27.3,93.2,3.2
House,Eric Swalwell,Swalwell,D,CA-15,17.2,-45.7,14.1,3.2
House,Evan H. Jenkins,Jenkins,R,WV-3,96.6,49.2,93.4,3.2
House,Jodey C. Arrington,Arrington,R,TX-19,96.6,49,93.4,3.2
House,Sam Graves,Graves,R,MO-6,98.2,31.4,95.1,3.1
House,Al Lawson Jr.,Lawson,D,FL-5,22.2,-25.4,19.1,3.1
House,Brian Babin,Babin,R,TX-36,96.6,46.8,93.5,3.1
House,Roger W. Marshall,Marshall,R,KS-1,96.6,45,93.6,3
House,Terri A. Sewell,Sewell,D,AL-7,17.2,-41.2,14.2,3
House,Bradley Byrne,Byrne,R,AL-1,96.6,29.4,93.6,3
House,Mike Thompson,Thompson,D,CA-5,15.8,-44.9,12.8,3
House,Robert J. Wittman,Wittman,R,VA-1,89.7,12.4,86.7,2.9
